Risk_LASSO_nonrand,Risk_LASSO_rand,Risk_indest,Risk_relLASSO_nonrand,Risk_relLASSO_rand,Risk_selMLE,SNR,correlation,regression_dim,sample_size,signal_type,tuning
0.652411550711,0.820946505923,1.4070040248,0.661438798105,1.16213302331,1.02796717205,0.05,0,100,500,1,selective_MLE
0.418810019872,0.615859220351,1.08859877204,0.396310997244,0.730827245437,0.682772681521,0.1,0,100,500,1,selective_MLE
0.280431627709,0.5151162648,0.53810847739,0.202537367658,0.362203372763,0.325984583304,0.15,0,100,500,1,selective_MLE
0.214846497925,0.401905491611,0.42362790596,0.11670955253,0.22108750486,0.215462021939,0.2,0,100,500,1,selective_MLE
0.182037721298,0.421809411384,0.319733900683,0.0912351556428,0.201887706538,0.174473785317,0.25,0,100,500,1,selective_MLE
0.150299675758,0.333848112123,0.217944505315,0.0590215304306,0.127539754074,0.118313600765,0.3,0,100,500,1,selective_MLE
0.122385160693,0.278841228658,0.159635815479,0.0357065622719,0.0846994005377,0.0685267959665,0.42,0,100,500,1,selective_MLE
0.064742081091,0.200842080649,0.075943258678,0.0175017280137,0.0352320848703,0.0302118943543,0.71,0,100,500,1,selective_MLE
0.0355829221315,0.153741474347,0.055041462649,0.0120802822177,0.019930314589,0.0178112548381,1.22,0,100,500,1,selective_MLE
0.0192982775325,0.0905511133875,0.0321402100347,0.00550207449333,0.0116545903161,0.0105093060895,2.07,0,100,500,1,selective_MLE
