Risk_LASSO_nonrand,Risk_LASSO_rand,Risk_indest,Risk_relLASSO_nonrand,Risk_relLASSO_rand,Risk_selMLE,SNR,correlation,regression_dim,sample_size,signal_type,tuning
1.22947708117,1.27519023435,29.9774110469,1.24903915215,6.04763869728,11.14355622,0.05,0.35,1000,200,1,randomized_LASSO
1.03997065233,1.09469903763,16.293370011,1.08898303471,3.38092077039,5.67042617943,0.1,0.35,1000,200,1,randomized_LASSO
0.970779284886,1.0261449909,13.5328791418,0.980575255112,2.69468544429,5.11745115543,0.15,0.35,1000,200,1,randomized_LASSO
0.955857160231,1.00570908043,9.92658362282,0.972031122743,2.42305064218,3.94134638117,0.2,0.35,1000,200,1,randomized_LASSO
0.899580794678,0.963436312334,8.07491069098,0.904449458809,1.94621905699,2.96076741876,0.25,0.35,1000,200,1,randomized_LASSO
0.861327468008,0.949610403149,9.07751513011,0.867332470168,1.87440533665,2.72989344456,0.3,0.35,1000,200,1,randomized_LASSO
0.760023082731,0.876389275514,6.63125065196,0.75529006061,1.48698253691,2.29869229231,0.42,0.35,1000,200,1,randomized_LASSO
0.56797924093,0.747119128815,5.00555624788,0.525097514,1.03821222608,1.90473171699,0.71,0.35,1000,200,1,randomized_LASSO
0.364022589518,0.607598814246,2.73622995835,0.261085084031,0.634367967642,0.918711011887,1.22,0.35,1000,200,1,randomized_LASSO
0.225363033778,0.501801832857,1.53237148385,0.103328651514,0.377559544681,0.81289768376,2.07,0.35,1000,200,1,randomized_LASSO
